Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,57.80169572,57.89368781,57.97034788,58.06693958,58.07000598,58.12826764,58.22945893,58.23099213,58.25552336,58.27085537,58.31685142,58.33218343,58.33524984,58.33524984,58.33524984,58.33524984,58.33831624,58.33831624,58.33678304,58.33678304,58.34291584,58.34444904,58.34444904,58.34444904,58.34444904,58.34444904,58.33065023,58.32298422,58.32298422,58.32298422,58.30765221,58.30765221,58.16046487,57.97494749,57.8829554,57.8814222,57.93968385,58.05774037,57.8829554,57.8829554,57.8829554,57.8829554,58.12366803,58.12520123,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.12520123,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.80747589,NA
Albania,44.96350365,44.96350365,45,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365,NA
Algeria,19.09150453,18.85176384,18.688018,18.54274606,18.54400564,18.54400564,18.57927398,18.55912064,18.55912064,18.56457884,19.07554981,19.06001495,18.60152661,18.61496217,18.37018314,18.48270592,18.40335217,18.40797064,18.39831384,18.40251245,16.44637954,16.41950843,16.49298412,16.63069856,16.3959962,16.24358662,16.28179398,16.2977487,16.27381662,16.23854829,16.21587579,16.31790204,16.31664245,16.6432944,16.64707315,16.64161495,16.66428745,16.72138856,16.68150176,16.80326148,16.84020926,16.73356454,16.7548515,17.27518537,17.3028962,17.29030037,17.32011051,17.34404259,17.37385273,17.37133356,17.37721162,17.38149,17.39553226,17.39526565,17.40592281,17.36553219,17.35501081,17.36496412,17.36496412,17.36496412,NA
American Samoa,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,16.35,16.85,18.45,20.1,21.7,23.3,24.95,26.75,30.1,29.85,29.6,29.35,29.02,28.5,28,27.45,26.95,26.5,25.85,25.2,24.55,23.9,23.25,22.6,21.95,21.3,20.65,20.05,20.05,20.05,NA
Andorra,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.40425532,48.61702128,48.63829787,48.53191489,46.38297872,46.34042553,44.19148936,44.17021277,44.19148936,42.06382979,42.06382979,39.91489362,40.0212766,40,40.0212766,40.04255319,40.04255319,40.06382979,40,39.82978723,NA
Angola,36.23744285,36.26150638,36.27754873,36.30161226,36.31765461,36.34171814,36.36578166,36.38984519,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.42192989,36.5465926,36.67125531,36.79591802,36.92058073,37.04524344,37.16990615,37.29456886,37.41923157,37.54389428,37.66855699,38.11378118,38.55900537,39.00422957,39.44945376,39.89467795,40.33990214,40.78512633,41.23035053,41.67557472,42.12079891,42.5660239,43.0112489,43.45647389,43.90169889,44.34692388,44.79215529,45.23737066,45.68259405,45.68259405,45.68259405,NA
Antigua and Barbuda,22.72727273,20.45454545,22.72727273,20.45454545,25,25,22.72727273,22.72727273,25,25,25,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,18.18181818,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,NA
Argentina,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,46.54600996,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54674077,46.54710618,46.54674077,46.54674077,46.54674077,46.54674077,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.17498146,47.31869521,47.47373652,47.55339479,47.49109325,46.42356277,45.43020949,46.13891234,45.79196036,45.58130442,44.92193124,43.85330454,42.78467784,41.71605114,40.64742444,39.60322861,39.60322861,39.60322861,NA
Armenia,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,58.90410959,58.8689849,NA
Aruba,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,NA
