Year,all_food,Food away from home,Food at home,"Meats, poultry, and fish",Meats ,Beef and veal,Pork,Other meats,Poultry,Fish and seafood,Eggs,Dairy products,Fats and oils,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits  ,Fresh vegetables,Processed fruits and vegetables,Sugar and sweets,Cereals and bakery products,Nonalcoholic beverages,Other foods
1974,14.3,12.7,14.9,2.2,1.8,2.9,-0.5,3.1,-5.1,15.3,0.4,18.6,41.9,16.5,7.8,8.7,7.3,N/A,52.4,29.9,19.3,21.4
1975,8.5,9.4,8.2,8.5,8.5,1,22.4,5.9,10.5,8.5,-1.8,3.1,10.7,3.1,2.3,6.8,-1.1,N/A,26.1,11.3,15,12.8
1976,3,6.8,2.1,0.9,0.2,-3.2,1.3,5.9,-4.1,11.7,9.2,8.1,-12.5,2.6,2.4,-0.2,4.3,N/A,-11.3,-2.2,19.6,4.1
1977,6.3,7.6,5.9,-0.6,-2.3,-0.7,-5.4,-0.6,0.7,10.8,-3.2,2.7,10.1,9.2,13.6,14.9,12.6,N/A,5,1.6,50.6,3.4
1978,9.9,9.1,10.5,16.7,18.6,22.9,12.9,17.7,10.4,9.4,-5.4,6.8,9.6,11.1,12.9,19.5,8,N/A,12.3,9,5.8,8
1979,11,11.1,10.8,14.9,17,27.4,1.6,14.7,4.9,9.7,9.5,11.6,7.9,8,7.6,12.4,3,N/A,7.8,10,5,10.1
1980,8.6,9.9,8.1,3.7,2.9,5.7,-3.3,3.8,5.2,9.2,-1.8,9.8,6.7,7.2,7.5,6.3,8.8,N/A,23,12,10.7,10.9
1981,7.8,9,7.2,4.1,3.6,0.8,9.3,4.3,4.1,8.3,8.2,7.2,10.6,12.1,12,5.4,18.6,N/A,8,10,4.3,10.3
1982,4.1,5.4,3.5,4.1,4.9,1.4,12.8,3,-1.7,3.6,-2.7,1.4,-2.7,5.4,5.6,11.1,0.5,N/A,-0.2,4.6,2.7,5.2
1983,2.1,4.4,1,-0.7,-1.2,-1.5,-0.9,-0.4,1.3,1.1,4.7,1.2,1.4,0.3,-0.3,-4.2,3.6,N/A,1.8,3.2,1.9,3.1
1984,3.8,4.2,3.7,1.7,0.3,1.2,-1.3,0.4,10.6,3.2,11.7,1.3,9.4,8.6,10.9,11,10.9,N/A,3.9,4.3,2.5,3
1985,2.3,3.9,1.5,-0.4,-0.9,-2.1,0.3,0.7,-1,4.9,-16.6,1.9,2.2,2.6,2.6,10.1,-4.3,N/A,2.5,3.8,2,3.3
1986,3.2,3.9,2.9,4.4,3.1,0.6,8.2,2.6,7.5,9.2,6.8,0.1,-2.2,0.9,3,2.1,4.1,N/A,3,2.8,5.8,2.6
1987,4.1,4,4.3,6.5,7.5,7.6,8.2,6.3,-1.4,10.6,-5.9,2.5,1.5,8.9,12.2,11.2,12.9,N/A,1.8,3.5,-2.6,4.2
1988,4.1,4.1,4.2,3.5,2.4,5.5,-3,2.6,7.2,5.8,2.3,2.4,4.6,7.6,7.3,8.3,6.3,N/A,2.7,6.4,0,3.7
1989,5.8,4.6,6.5,5,4,6.4,0.6,2.8,9.9,4.5,26.6,6.6,7.2,7.7,8.5,6.6,10.7,N/A,4.7,8.4,3.5,6.4
1990,5.8,4.7,6.5,7.3,10.1,8,14.7,9.3,-0.2,2.2,4.7,9.4,4.2,8,9,12.1,5.6,N/A,4.4,5.7,2,4.5
1991,2.9,3.4,2.6,2.3,3.1,2.8,3.3,3.7,-0.8,1.1,-2.3,-1.1,4.3,4.6,8.1,13.5,2.2,N/A,3.7,4.1,0.5,4.5
1992,1.2,2,0.7,-0.8,-1.4,-0.1,-4.7,0.2,-0.1,2.3,-10.6,2.7,-1.4,-0.3,-1.8,-5,2.3,N/A,2.9,3.9,0.2,2.2
1993,2.2,1.8,2.4,3.3,3,3.6,3.1,1.6,4.2,3.2,8.1,0.7,0.2,2.3,4.4,2.5,6.6,N/A,0.2,3.4,0.3,2.6
1994,2.4,1.7,2.9,1.5,0.6,-0.8,1.7,2.4,3.4,4.5,-2.4,1.8,2.7,3.8,4.5,6.6,2.3,N/A,1.3,4.1,7.5,2.6
1995,2.8,2.3,3.3,0.9,0.1,-0.8,0.7,1.5,1.4,4.8,5.4,0.8,2.8,7.7,10.3,8.8,12.1,N/A,1.7,2.8,6.9,2.4
1996,3.3,2.5,3.7,3.5,3.5,-0.3,9.9,3.6,6.2,0.9,17.9,7,2.3,3.5,2.8,7,-2,N/A,4.5,3.9,-2.4,3.4
1997,2.6,2.8,2.5,2.9,3,1.7,5.2,2.8,2.8,2.3,-1.5,2.4,0.9,2,1.7,0.8,2.9,N/A,2.9,2.1,3.7,3.2
1998,2.2,2.6,1.9,-0.8,-1.9,-0.2,-4.7,-0.9,0.3,2.6,-3.3,3.6,3.7,5.7,7.3,4.3,10.9,N/A,1.6,2,-0.3,2.7
1999,2.1,2.5,1.9,0.7,0.5,2,-1.8,1,0.5,2,-5.4,5.8,1,2.5,2.6,8,-3,2.3,1.4,2.2,1,2.1
2000,2.3,2.4,2.3,4.5,5.9,6.4,7.3,2.6,1.2,2.8,3,0.7,-0.6,0.7,0.7,-3,4.8,1.1,1.1,1.8,2.6,2
2001,3.2,2.9,3.3,4.4,5.7,8.4,3.8,2.9,3.2,0.4,3.4,4,5.6,3.7,3.8,2.6,5.1,3.2,1.1,2.9,1,2.2
2002,1.8,2.5,1.3,0.5,0.6,0.1,-0.4,3.5,1.3,-1.6,1.3,0.6,-0.2,4.1,4.2,1.9,6.4,3.8,2.1,2.2,0,0.6
2003,2.2,2.1,2.2,4,5.4,9,1.9,2.5,1.3,1,13.8,-0.1,1.3,2.3,2.7,3.3,2.1,0.9,1.9,2.4,0.4,1
2004,3.4,3,3.8,7.4,8.4,11.5,5.6,4.5,7.5,2.3,6.2,7.3,6.6,3,3.5,2.8,4.3,1.2,0.7,1.6,0.4,0.5
2005,2.4,3.1,1.9,2.4,2.3,2.6,2,2.4,2,3,-13.7,1.2,-0.1,3.7,3.9,3.7,4,3.3,1.2,1.5,2.8,1.6
2006,2.4,3.1,1.7,0.8,0.7,0.8,-0.2,1.8,-1.8,4.7,4.9,-0.5,0.2,4.8,5.3,6,4.6,2.9,3.8,1.8,2.1,1.4
2007,4,3.6,4.2,3.8,3.3,4.4,2,2.3,5.1,4.6,29.2,7.4,2.9,3.8,3.9,4.5,3.2,3.6,3.1,4.4,4.1,1.8
2008,5.5,4.4,6.4,4.2,3.5,4.5,2.3,3.1,5,5.9,14,8,13.8,6.2,5.2,4.8,5.6,9.5,5.5,10.2,4.3,5.2
2009,1.8,3.5,0.5,0.5,-0.6,-1,-2,2.3,1.7,3.6,-14.7,-6.4,2.3,-2.1,-4.8,-6.1,-3.4,6.6,5.6,3.2,1.9,3.7
