GDP,AgriGDP,AgriLand,Population,Year,Loss,Production,LossPercentage
2163550000000,NA,34.93527868,3392097729,1966,903250707.1583999,7527089226.32,12
2484820000000,10.64172049,35.27024254,3532782993,1968,429435081.43200004,7952501508,5.4
2740740000000,10.21415386,35.3464841,3606553753,1969,1303832947.8528666,7982650701.14,16.333333333333332
2996750000000,9.774321388,35.24709037,3681975908,1970,800527107.154881,8331705395.37,9.608202272727272
3310260000000,9.292124996,35.35636792,3760516757,1971,803473712.5588375,8506205729.89,9.445735714285714
3816540000000,8.965084587,35.43405971,3836900801,1972,795035073.2439879,8417504176.74,9.445021428571428
4656240000000,9.255077757,35.54900811,3912984371,1973,989464816.4350278,9002947331.57,10.990454347826088
5366740000000,9.243947237,35.61777275,3988487336,1974,890833237.1540285,8981664669.68,9.918353333333332
5977990000000,8.940362469,35.68719574,4062507027,1975,856116092.5230361,9170268072.43,9.335780434782608
6498370000000,8.373398545,35.68969152,4135432265,1976,928152818.0436035,9565242483.47,9.70339037037037
7349660000000,8.313319579,35.69398756,4207786422,1977,1202182846.1551523,9807999047.4,12.257167240180744
8655210000000,7.397616297,35.81926719,4281339378,1978,1021797025.565469,10297802987.24,9.922475957556937
10052700000000,7.405465419,35.8763145,4356778367,1979,940625217.8745698,10254755735.48,9.172575555555555
11334900000000,6.972731786,35.99057039,4432963653,1980,950733378.8041135,10146431609.33,9.370125531914892
11725900000000,7.022927032,36.00549498,4511164132,1981,958537649.9171593,10615721069.78,9.029416312056737
11608100000000,7.090060824,36.11484643,4592387213,1982,1217158353.0987349,11138308029.3,10.927677254901962
11838300000000,6.947892053,36.17458978,4674330282,1983,1336856057.1180243,11034988073.92,12.114703234501349
12269800000000,6.828504098,36.4053994,4755996689,1984,1249574832.4963217,11660921860.89,10.715918067226891
12860100000000,6.655322746,36.64034616,4839176734,1985,1370129836.5899086,11784883415.26,11.62616369047619
15205300000000,5.977536246,36.66632259,4924747934,1986,1311377733.711454,11945090455.66,10.978382613168723
17307200000000,5.419157856,36.80599609,5012556248,1987,1243375924.3588293,12052032517.48,10.316732240437158
19338000000000,5.245332861,36.94043815,5101287675,1988,1288898569.5822048,12021625421.65,10.7215
20194000000000,5.260006401,37.03209515,5189977062,1989,1375218502.4328012,12570658164.97,10.939908510638299
22780000000000,5.13827023,37.12073672,5280062644,1990,1318680723.8185928,12875919476.3,10.241448979591837
23759600000000,4.644601438,37.15199033,5368139818,1991,1242561441.292621,13430683172.89,9.251662222222222
25406100000000,4.101456567,37.18953868,5452576967,1992,1252258700.8198614,13869834135.72,9.028649431321085
25822000000000,3.866682872,37.06519739,5537885402,1993,1281165966.3062944,13768042476.87,9.305360355029586
27872300000000,3.912102683,37.22828691,5622085293,1994,1330251531.9163263,14103338620.66,9.43217466230045
31043600000000,3.862109341,37.20401916,5706753581,1995,1266341592.8119273,14437563751.82,8.771158448753463
31736700000000,3.980665585,37.26701501,5789655178,1996,1210125255.7958994,15152063581.16,7.986537604690117
31620400000000,3.867015713,37.40253225,5872284397,1997,1191910996.713697,15408180393.48,7.735572704081633
31540000000000,3.737753387,37.51002739,5954004340,1998,1243389388.3462598,15597214879.49,7.971868041526375
32737400000000,3.528336564,37.53232173,6034484369,1999,1195928231.3689444,15990487977.33,7.478997720797721
33830900000000,3.397671554,37.55157164,6114324044,2000,956759795.5097408,16165162703.04,5.918652432306256
33615400000000,3.384028707,37.56889067,6193663732,2001,1024440454.9098396,16366407387.07,6.25940947626161
34911400000000,3.34290207,37.47981916,6272724236,2002,1010832967.5644192,16660470598.79,6.0672533922171015
39147000000000,3.331125345,37.35704091,6351855732,2003,1101631656.780147,16980306940.89,6.4877016688510265
44117600000000,3.372492841,37.01311451,6431527221,2004,1050775976.3323848,17709086804.41,5.933541282719985
47779700000000,3.247322771,37.06380416,6511724848,2005,1207476103.7124753,17855884444.57,6.7623427305482515
51779800000000,3.22688389,37.05709388,6592711655,2006,1115154121.6619139,18303510899.78,6.092569495371064
58355000000000,3.39787158,36.99639794,6674181848,2007,1102996000.2759678,19065119921.47,5.785413387480661
64123700000000,3.560630387,36.90259543,6757000414,2008,1326763214.273838,19944817116.61,6.6521703684558355
60809100000000,3.689302631,36.87238767,6839553692,2009,1031900667.0010455,19905105206.52,5.184100542523343
66596100000000,3.884282286,36.87779946,6921854591,2010,1313009362.0517416,20287178526.86,6.472114199189068
73853800000000,3.990115134,37.02637627,7003760440,2011,1144092500.5417802,21293586674.38,5.372944060750124
75488100000000,4.018358489,36.62936722,7089254548,2012,1176354822.8526955,21472110443.48,5.478524460598122
77607200000000,4.150607043,36.5582813,7175500378,2013,1939576892.8384366,22354639880.61,8.676395160902544
79708800000000,4.130140848,36.55097178,7261846543,2014,1240911881.9066172,22760272939.4,5.4520957864195525
75179300000000,4.216184294,36.36061101,7347679005,2015,1325388577.2665234,22893127582.34,5.789460494200635
76465600000000,4.170473398,36.33639295,7433650819,2016,1262641347.1380043,23247963422.1,5.431191215389264
81404000000000,4.13986423,36.61666493,7519371102,2017,1276974769.6355247,23887443041.28,5.345799328244462
86413000000000,3.941812578,36.49873626,7602716232,2018,1390611428.053273,24072848626.52,5.776679983445321
87652900000000,4.007294654,36.511307360000004,7683806444,2019,1138099968.4642828,24392143948.3,4.665846392496393
84906800000000,4.385748308,36.45884082,7763932702,2020,765343513.3985907,23405584258.57,3.269918430335097
